Id,Shape,Weight,Clarity,Colour,Cut,Polish,Symmetry,Fluorescence,Length,Width,Depth,Price
210211-26,EMERALD,5.51,VS1,O-P,EX,EX,EX,F,11.31,8.5,5.78,41613.86
211069-30,EMERALD,5.01,SI2,M,EX,EX,EX,N,11.77,8.13,5.33,26256.28
210595-6,EMERALD,5.01,VS2,M,VG,EX,EX,N,10.99,8.32,5.62,53764.84
210300-52,EMERALD,5.01,VS2,J,VG,EX,EX,M,10.63,8.03,5.63,56407.68
210211-15,EMERALD,5.0,VS1,L,VG,EX,EX,N,10.95,8.27,5.78,39042.12
210211-17,EMERALD,5.0,VS2,Q-R,VG,EX,EX,F,10.83,8.13,5.65,37042.2
211201-10,EMERALD,3.51,SI1,K,VG,EX,EX,ST,9.9,7.38,5.12,28995.88
210523-46,EMERALD,3.51,VVS2,H,VG,EX,EX,M,9.54,7.28,4.97,64294.39
211163-12,EMERALD,3.21,VS1,I,VG,EX,EX,F,9.21,6.98,4.88,45801.04
210631-263,EMERALD,3.2,VS1,E,VG,EX,EX,M,9.46,7.16,4.97,63873.39
211136-141,EMERALD,3.01,VS2,D,EX,EX,EX,VS,9.39,6.96,4.65,42905.79
210511-50,EMERALD,3.01,VS2,K,EX,EX,EX,F,9.77,6.89,4.67,28861.48
210584-77,EMERALD,3.01,VS1,I,VG,EX,EX,N,9.5,6.93,4.84,45657.41
210543-154,EMERALD,3.01,VS1,H,EX,EX,EX,N,9.64,6.86,4.62,57017.0
211133-28,EMERALD,3.01,VS1,G,VG,EX,EX,M,9.14,6.77,4.62,41953.98
210577-1,EMERALD,3.01,VS2,F,VG,EX,EX,N,9.43,7.13,4.84,50569.24
210599-203,EMERALD,3.01,VVS2,F,EX,EX,EX,F,9.8,6.99,4.55,67738.23
210591-142,EMERALD,3.0,VS1,D,VG,EX,EX,ST,9.48,6.7,4.68,56175.76
200640-16,EMERALD,3.0,VVS2,I,EX,EX,EX,N,9.34,6.93,4.68,50279.42
210113-154,EMERALD,5.0,SI2,I,EX,EX,VG,N,11.58,8.11,5.57,64608.96
200652-19,EMERALD,3.0,VS1,H,EX,EX,EX,N,9.35,6.91,4.68,52363.9
211151-16,EMERALD,3.0,VVS2,F,EX,EX,VG,N,9.75,6.74,4.6,66986.79
211205-6,EMERALD,2.91,VS1,L,VG,EX,EX,F,9.83,6.64,4.62,21648.12
210563-1529,EMERALD,2.81,SI2,H,VG,EX,EX,N,9.0,6.8,4.72,27505.31
211073-11,EMERALD,2.79,VS2,F,EX,EX,EX,N,9.35,6.92,4.57,47167.24
210599-332,EMERALD,2.72,VS2,E,EX,EX,VG,N,9.4,6.49,4.43,49176.27
211200-18,EMERALD,2.7,VS2,D,VG,EX,EX,M,9.42,6.92,4.16,43204.9
210545-39,EMERALD,2.67,VS1,E,VG,EX,EX,N,8.86,6.62,4.63,50907.51
210599-327,EMERALD,2.61,VS1,G,EX,EX,EX,N,9.09,6.52,4.44,45024.69
210501-26,EMERALD,2.61,VS2,F,VG,EX,EX,F,8.84,6.7,4.68,40003.27
210631-238,EMERALD,2.6,VS2,G,VG,EX,EX,N,9.27,7.02,4.3,39604.91
211145-72,EMERALD,2.6,VS1,F,VG,EX,EX,ST,8.9,6.6,4.57,35416.68
211209-70,EMERALD,2.52,VS2,J,VG,EX,EX,F,8.76,6.62,4.6,23901.09
