Id,Shape,Weight,Clarity,Colour,Cut,Polish,Symmetry,Fluorescence,Length,Width,Depth,Price
1667147,CUSHION,0.75,SI2,G,EX,EX,GD,N,5.7,4.86,3.29,2296.25
1786495,EMERALD,0.41,IF,G,EX,EX,GD,N,4.89,3.61,2.43,1273.53
200722-12,CUSHION,1.7,SI1,H,EX,EX,EX,N,6.9,6.75,4.55,13164.25
1649864,ROUND,0.51,SI2,J,EX,EX,EX,M,5.07,5.1,3.18,1508.15
1658975,EMERALD,0.5,SI1,I,EX,VG,VG,N,5.34,3.86,2.53,1199.94
211003-1098,CUSHION,1.09,SI1,J,EX,EX,EX,ST,6.43,5.45,3.7,2991.07
1671477,CUSHION,0.7,SI1,D,EX,EX,VG,F,5.28,4.83,3.24,2600.76
212019-271,PEAR,1.0,VVS2,F,GD,EX,VG,F,8.23,5.46,3.55,7178.84
1652378,ROUND,0.5,SI1,H,VG,EX,VG,F,4.92,4.99,3.16,2100.82
202233-480,CUSHION,0.96,SI2,I,EX,EX,VG,N,5.57,5.43,3.7,2870.92
1755558,EMERALD,0.33,VS1,D,EX,VG,VG,F,5.03,3.25,2.04,926.93
1754042,ROUND,0.35,VVS1,G,EX,EX,EX,F,4.55,4.58,2.74,1382.59
1789927,HEART,0.3,VS2,E,VG,EX,GD,N,4.01,4.73,2.72,1022.45
1686032,ROUND,0.66,I1,F,EX,EX,EX,F,5.68,5.71,3.38,1529.25
1639020,ROUND,0.5,VS2,G,GD,VG,VG,N,4.87,4.93,3.21,2113.06
1795943,MARQUISE,0.3,VS1,D,VG,VG,VG,N,6.55,3.61,2.12,1044.25
1787991,MARQUISE,0.5,VS2,D,EX,EX,EX,F,8.82,4.03,2.33,2010.47
1777721,PRINCESS,0.51,SI1,G,EX,EX,VG,N,4.56,4.47,3.04,1551.61
1638117,CUSHION,0.73,SI1,D,EX,EX,VG,N,5.12,4.98,3.39,2486.84
1663713,ROUND,0.5,VVS2,I,EX,EX,EX,F,5.06,5.08,3.18,2337.0
1654385,PRINCESS,0.59,VVS2,K,EX,EX,VG,N,4.56,4.53,3.28,1433.29
1651827,PRINCESS,0.59,VS2,J,EX,EX,VG,F,4.52,4.44,3.23,1432.27
1798880,PRINCESS,0.3,VVS1,E,EX,EX,VG,N,3.84,3.79,2.7,1060.0
1789050,EMERALD,0.34,VVS2,E,EX,VG,VG,N,4.72,3.44,2.23,1155.08
1635589,ROUND,0.5,SI1,M,EX,EX,EX,N,5.02,5.05,3.17,1124.75
1779352,ROUND,0.4,VVS2,I,EX,EX,EX,N,4.66,4.7,2.95,1521.83
1797566,PRINCESS,0.3,VVS1,E,EX,EX,VG,N,3.77,3.71,2.53,1038.25
1800169,OVAL,0.5,SI1,D,VG,EX,VG,N,6.05,4.43,2.8,1746.62
1634071,CUSHION,0.82,VVS2,J,EX,EX,VG,N,5.57,5.07,3.43,2030.12
1779952,OVAL,0.35,VS1,E,EX,EX,VG,N,5.78,3.98,2.45,1111.09
1790510,ROUND,0.5,SI2,E,VG,EX,VG,N,5.05,5.1,3.13,2020.46
1784060,PRINCESS,0.5,VS1,I,EX,EX,GD,N,4.38,4.38,3.17,1588.74
1735496,ROUND,0.53,SI2,G,EX,EX,EX,N,5.25,5.28,3.18,2080.19
1797722,ROUND,0.5,VVS1,E,GD,EX,GD,M,4.97,5.01,3.23,2077.86
1660176,CUSHION,0.5,VS2,G,EX,EX,GD,F,4.52,4.5,3.02,1416.14
1800349,PRINCESS,0.51,SI1,J,EX,EX,GD,N,4.48,4.46,3.18,1272.38
1790439,ROUND,0.5,SI1,F,EX,EX,EX,F,5.19,5.2,3.11,2347.68
1785489,PEAR,0.7,SI1,J,EX,EX,VG,F,7.74,4.8,3.0,2319.63
1775881,ROUND,0.5,VVS2,J,EX,EX,EX,N,5.11,5.14,3.18,2074.68
200744-40,CUSHION,1.01,SI2,H,EX,EX,EX,N,5.75,5.61,3.79,3590.27
1786294,ROUND,0.4,VVS2,I,EX,EX,EX,N,4.71,4.74,2.95,1533.95
1791006,EMERALD,0.52,VS2,J,EX,VG,VG,N,5.35,3.87,2.64,1281.09
1606827,CUSHION,0.52,VVS2,J,EX,EX,EX,N,4.61,4.51,3.01,1156.87
1667372,OVAL,0.5,SI1,D,EX,EX,VG,N,6.96,4.38,2.56,1808.53
1785678,PRINCESS,0.51,VS1,I,GD,EX,GD,N,4.17,4.02,3.17,1504.15
1670906,PRINCESS,0.5,VVS1,J,EX,EX,GD,N,4.38,4.29,3.12,1430.75
1655896,ROUND,0.59,VS2,I,EX,EX,EX,VS,5.4,5.43,3.33,2110.71
210504-307,PEAR,1.01,SI2,I,EX,EX,EX,M,9.45,5.65,3.25,4458.04
1786718,PRINCESS,0.53,VVS1,I,EX,EX,EX,N,4.48,4.42,3.22,1867.06
1765405,ROUND,0.62,VS1,J,EX,EX,EX,N,5.56,5.57,3.33,2528.05
1764138,PRINCESS,0.32,VS2,D,EX,EX,GD,N,3.87,3.81,2.7,926.46
1789340,ROUND,0.81,VVS2,Q-R,EX,EX,EX,N,5.95,5.98,3.71,1522.1
1773406,ROUND,0.32,SI1,G,EX,VG,EX,N,4.43,4.44,2.73,1082.75
1785730,PRINCESS,0.4,VS1,G,VG,EX,GD,N,4.15,4.09,2.82,1306.74
1800029,HEART,0.3,VS2,G,EX,VG,VG,N,4.11,4.63,2.74,1093.95
1764523,ROUND,0.31,VVS1,D,EX,EX,EX,N,4.3,4.33,2.7,1404.24
210605-785,PEAR,1.6,VS2,G,VG,EX,EX,F,10.03,6.58,3.85,16247.87
1758873,ROUND,0.5,SI1,K,VG,VG,EX,N,5.19,5.21,3.04,1507.62
1796210,PRINCESS,0.5,SI1,G,EX,VG,GD,N,4.41,4.35,3.12,1451.86
1793214,HEART,0.3,SI2,E,EX,EX,GD,N,3.97,4.73,2.8,850.12
1788253,PRINCESS,0.3,VS1,F,EX,EX,VG,N,3.74,3.71,2.69,978.37
1596261,CUSHION,0.81,SI1,G,EX,EX,VG,N,5.46,5.18,3.5,2435.56
1652683,CUSHION,0.81,SI1,E,EX,EX,EX,M,5.76,5.01,3.39,2582.83
1776452,OVAL,0.5,VS1,F,VG,VG,VG,N,6.19,4.43,2.74,1920.85
1668740,ROUND,0.5,VS1,I,EX,EX,VG,F,5.02,5.07,3.17,2074.89
1645993,CUSHION,0.8,SI1,G,EX,EX,EX,N,5.43,5.07,3.42,2689.04
1785661,PRINCESS,0.51,VVS2,J,EX,EX,VG,N,4.33,4.24,3.08,1547.25
1782699,EMERALD,0.4,VS1,F,EX,EX,GD,N,5.03,3.62,2.38,1290.55
1777017,ROUND,0.5,SI2,E,VG,EX,VG,N,4.93,4.97,3.19,2051.69
202243-662,CUSHION,1.0,VS2,M,EX,EX,EX,F,5.66,5.53,3.75,2227.9
1793437,PRINCESS,0.4,SI1,G,EX,VG,GD,N,4.15,4.11,2.9,1155.32
1575622,CUSHION,0.52,SI1,L,EX,EX,VG,N,5.02,4.23,2.88,869.06
1601290,CUSHION,0.5,SI1,FANCY,EX,EX,VG,F,4.44,4.41,2.95,1241.42
1745228,OVAL,0.7,SI1,K,EX,VG,VG,F,6.82,4.99,3.07,1696.13
1785684,PRINCESS,0.51,VS1,J,EX,EX,VG,N,4.53,4.45,3.04,1502.51
1639560,CUSHION,0.75,SI2,F,EX,EX,VG,N,5.57,4.85,3.28,2623.1
1638099,CUSHION,0.9,SI2,D,EX,EX,EX,F,5.37,5.35,3.61,2921.58
200771-265,CUSHION,1.01,SI2,L,EX,EX,EX,M,5.96,5.42,3.68,2053.79
1797216,EMERALD,0.41,VS2,E,EX,VG,VG,M,5.41,3.53,2.19,1309.48
1794308,EMERALD,0.41,VVS1,E,VG,EX,VG,ST,5.61,3.53,2.02,1273.42
1759474,PRINCESS,0.46,VS2,E,EX,EX,VG,N,4.24,4.2,3.04,1454.46
1621840,ROUND,0.5,SI1,I,EX,EX,EX,N,5.06,5.08,3.18,1969.33
1757741,ROUND,0.5,SI2,D,EX,EX,EX,M,5.1,5.13,3.09,2058.5
1781721,PRINCESS,0.51,SI1,F,EX,EX,VG,N,4.34,4.26,3.08,1660.21
1631318,CUSHION,0.8,SI1,E,VG,EX,VG,N,5.48,4.99,3.44,2619.95
1800983,PRINCESS,0.4,VS2,D,VG,EX,GD,N,3.96,3.85,2.88,1283.79
1641644,ROUND,0.51,VS1,J,EX,EX,EX,N,5.18,5.21,3.11,2030.9
1626220,CUSHION,0.8,VS2,E,EX,EX,EX,N,5.37,5.11,3.46,3466.3
1764392,ROUND,0.5,SI1,I,EX,EX,EX,N,5.08,5.11,3.11,2094.06
201173-573,CUSHION,1.5,SI2,E,EX,EX,EX,N,6.77,6.19,4.2,7313.18
1790021,PEAR,0.3,SI1,E,VG,EX,GD,N,5.8,3.68,2.34,899.27
1798609,EMERALD,0.33,VS1,E,EX,VG,GD,F,4.82,3.24,2.14,1013.41
1793205,HEART,0.31,SI1,E,EX,VG,VG,N,4.13,4.67,2.62,998.71
1767177,PRINCESS,0.52,SI1,E,EX,EX,EX,F,4.46,4.39,3.19,1646.55
1671666,ROUND,0.52,VVS2,J,EX,EX,EX,F,5.16,5.18,3.21,2180.11
210511-24,PEAR,1.51,SI1,L,EX,EX,EX,F,10.74,6.32,3.76,7173.99
1761577,EMERALD,0.57,VS2,K,VG,EX,EX,F,5.25,3.95,2.76,1281.12
1626204,CUSHION,0.9,VVS1,K,GD,EX,GD,N,5.44,5.1,3.66,2227.14
210421-213,PEAR,4.09,I1,FANCY,EX,EX,EX,M,12.22,9.02,5.33,16014.16
1658912,CUSHION,0.51,VVS1,G,EX,VG,VG,F,4.99,4.26,2.88,1592.88
1651236,HEART,0.5,SI1,K,VG,GD,VG,N,4.77,5.51,3.07,1062.49
203227-227,CUSHION,0.96,VS1,H,VG,EX,VG,ST,5.49,5.38,3.76,3539.54
1665799,CUSHION,0.5,SI1,F,EX,EX,VG,N,4.88,4.23,2.85,1502.54
1669448,CUSHION,0.81,VS1,M,EX,EX,VG,F,5.79,4.96,3.37,1478.93
1666582,ROUND,0.5,VS1,G,EX,EX,VG,F,5.12,5.16,3.08,2527.87
1655866,ROUND,0.5,VS2,F,EX,EX,EX,F,5.04,5.08,3.17,2568.5
1778090,ROUND,0.52,SI2,D,EX,EX,EX,N,5.13,5.15,3.2,2187.2
1789912,HEART,0.3,VS1,E,EX,VG,GD,N,4.16,4.74,2.67,1060.0
1660175,CUSHION,0.51,VS2,E,EX,EX,GD,N,4.96,4.3,2.91,1582.23
1775629,PRINCESS,0.34,VS2,H,EX,EX,VG,N,3.88,3.84,2.78,952.28
211007-604,CUSHION,1.3,IF,Q-R,EX,VG,EX,F,6.36,5.95,3.95,3723.5
1777719,PRINCESS,0.6,VS2,I,EX,EX,VG,N,4.56,4.5,3.26,1793.23
1774931,ROUND,0.51,SI2,H,EX,EX,EX,F,5.08,5.11,3.19,1970.44
1771717,PRINCESS,0.5,VVS2,G,EX,VG,GD,N,4.36,4.35,3.11,1707.81
1602058,CUSHION,0.51,VVS1,I,EX,EX,EX,N,4.69,4.36,2.96,1411.99
210515-212,PEAR,1.2,VVS2,H,EX,EX,VG,N,9.25,5.98,3.76,9588.25
1667132,CUSHION,0.9,SI2,G,EX,EX,VG,N,5.64,5.49,3.57,3535.96
1642634,PRINCESS,0.5,SI1,E,EX,EX,VG,N,4.53,4.44,3.09,1443.77
1775195,EMERALD,0.4,VVS2,H,VG,EX,FR,N,5.28,3.61,2.11,1137.03
210066-144,OVAL,1.0,I1,L,VG,EX,VG,ST,7.48,5.58,3.55,1802.15
1767180,PRINCESS,0.5,SI1,I,EX,EX,VG,N,4.54,4.45,3.21,1400.2
1755797,PRINCESS,0.5,SI1,G,EX,EX,GD,N,4.33,4.29,3.07,1450.97
1789039,EMERALD,0.3,VVS1,D,EX,GD,GD,F,4.89,3.13,1.88,1028.04
